ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28242483 753618.995 3753377.065 295.175 0.114 0.06830 32.155 62622.01511 -84.257575599 33.890284493
28242484 753619.032 3753377.006 294.847 0.173 0.05801 32.209 62622.01514 -84.257575212 33.890283952
28242485 753619.058 3753376.97 294.516 0.243 0.04772 32.240 62622.01518 -84.257574945 33.890283624
28242486 753619.058 3753376.985 294.184 0.231 0.03743 32.218 62622.01521 -84.257574940 33.890283757
28242487 753619.079 3753376.957 293.853 0.255 0.02714 32.247 62622.01524 -84.257574715 33.890283503
28242488 753619.051 3753377.027 293.522 0.231 0.01685 32.170 62622.01527 -84.257574996 33.890284139
28242489 753619.068 3753377.009 293.19 0.145 0.00655 32.195 62622.01531 -84.257574819 33.890283971
28242490 753619.054 3753377.052 292.86 0.098 -0.00374 32.155 62622.01534 -84.257574961 33.890284362
28242562 753619.133 3753377.065 295.16 0.149 0.06820 31.912 62622.02842 -84.257574099 33.890284456
28242563 753619.172 3753377.003 294.834 0.259 0.05791 31.969 62622.02845 -84.257573699 33.890283891
28242564 753619.168 3753377.025 294.504 0.443 0.04762 31.935 62622.02849 -84.257573733 33.890284094
28242565 753619.176 3753377.026 294.176 0.447 0.03733 31.929 62622.02852 -84.257573655 33.890284097
28242566 753619.182 3753377.029 293.847 0.447 0.02704 31.924 62622.02855 -84.257573589 33.890284120
28242567 753619.19 3753377.026 293.519 0.478 0.01674 31.928 62622.02858 -84.257573496 33.890284097
28242568 753619.184 3753377.053 293.19 0.192 0.00645 31.902 62622.02862 -84.257573556 33.890284344
28242569 753619.188 3753377.061 292.862 0.110 -0.00384 31.902 62622.02865 -84.257573513 33.890284408
28242643 753619.238 3753377.132 295.144 0.145 0.06820 31.593 62622.04173 -84.257572949 33.890285039
28242644 753619.273 3753377.078 294.821 0.745 0.05791 31.642 62622.04176 -84.257572588 33.890284540
28242645 753619.273 3753377.093 294.495 0.812 0.04762 31.616 62622.04180 -84.257572586 33.890284678
28242646 753619.291 3753377.072 294.17 0.824 0.03733 31.634 62622.04183 -84.257572399 33.890284486
28242647 753619.291 3753377.086 293.844 0.831 0.02704 31.616 62622.04186 -84.257572393 33.890284615
28242648 753619.294 3753377.095 293.519 0.835 0.01675 31.607 62622.04190 -84.257572360 33.890284696
28242649 753619.3 3753377.097 293.194 0.353 0.00645 31.610 62622.04193 -84.257572288 33.890284708
28242650 753619.287 3753377.137 292.87 0.141 -0.00384 31.573 62622.04196 -84.257572417 33.890285073
28242724 753619.356 3753377.174 295.132 0.165 0.06830 31.303 62622.05504 -84.257571666 33.890285388
28242725 753619.363 3753377.175 294.81 0.745 0.05801 31.290 62622.05507 -84.257571592 33.890285394
28242726 753619.384 3753377.146 294.489 0.827 0.04772 31.313 62622.05511 -84.257571366 33.890285133
28242727 753619.38 3753377.169 294.166 0.808 0.03743 31.282 62622.05514 -84.257571406 33.890285340
28242728 753619.387 3753377.17 293.845 0.796 0.02714 31.279 62622.05517 -84.257571332 33.890285347
28242729 753619.401 3753377.157 293.523 0.839 0.01685 31.295 62622.05520 -84.257571185 33.890285225
28242730 753619.402 3753377.17 293.201 0.443 0.00655 31.285 62622.05524 -84.257571172 33.890285341
28242731 753619.408 3753377.171 292.879 0.212 -0.00374 31.292 62622.05527 -84.257571098 33.890285347
28242805 753619.449 3753377.264 295.112 0.153 0.06820 30.959 62622.06835 -84.257570629 33.890286174
28242806 753619.472 3753377.234 294.795 0.757 0.05791 30.981 62622.06838 -84.257570395 33.890285897
28242807 753619.476 3753377.239 294.476 0.831 0.04762 30.966 62622.06841 -84.257570347 33.890285947
28242808 753619.487 3753377.232 294.157 0.776 0.03733 30.969 62622.06845 -84.257570230 33.890285877
28242809 753619.494 3753377.233 293.839 0.831 0.02704 30.966 62622.06848 -84.257570157 33.890285883
28242810 753619.49 3753377.254 293.52 0.816 0.01674 30.943 62622.06851 -84.257570192 33.890286080
28242811 753619.492 3753377.264 293.202 0.737 0.00645 30.937 62622.06854 -84.257570163 33.890286164
28242812 753619.515 3753377.234 292.883 0.153 -0.00384 30.978 62622.06858 -84.257569931 33.890285891
28242886 753619.572 3753377.296 295.098 0.149 0.06820 30.679 62622.08166 -84.257569297 33.890286440
28242887 753619.579 3753377.297 294.782 0.753 0.05791 30.667 62622.08169 -84.257569221 33.890286441
28242888 753619.576 3753377.317 294.466 0.808 0.04762 30.636 62622.08172 -84.257569249 33.890286623
28242889 753619.576 3753377.329 294.151 0.808 0.03733 30.617 62622.08175 -84.257569236 33.890286733
28242890 753619.598 3753377.301 293.836 0.843 0.02704 30.646 62622.08179 -84.257569014 33.890286478
28242891 753619.603 3753377.304 293.52 0.816 0.01674 30.644 62622.08182 -84.257568953 33.890286502
28242892 753619.605 3753377.315 293.205 0.761 0.00645 30.637 62622.08185 -84.257568930 33.890286595
28242893 753619.608 3753377.324 292.89 0.176 -0.00384 30.634 62622.08189 -84.257568901 33.890286679
28242967 753619.641 3753377.434 295.081 0.165 0.06830 30.282 62622.09497 -84.257568504 33.890287661
28242968 753619.678 3753377.375 294.772 0.741 0.05801 30.336 62622.09500 -84.257568126 33.890287125
28242969 753619.675 3753377.395 294.459 0.812 0.04772 30.306 62622.09503 -84.257568150 33.890287299
28242970 753619.683 3753377.393 294.148 0.804 0.03743 30.303 62622.09506 -84.257568065 33.890287279
28242971 753619.684 3753377.406 293.836 0.824 0.02714 30.286 62622.09510 -84.257568056 33.890287398
28242972 753619.692 3753377.402 293.524 0.812 0.01685 30.291 62622.09513 -84.257567964 33.890287365
28242973 753619.68 3753377.441 293.213 0.749 0.00655 30.252 62622.09516 -84.257568089 33.890287717
28242974 753619.719 3753377.378 292.9 0.165 -0.00374 30.330 62622.09520 -84.257567686 33.890287141
28243048 753619.763 3753377.469 295.064 0.176 0.06820 29.999 62622.10828 -84.257567183 33.890287952
28243049 753619.772 3753377.465 294.755 0.780 0.05791 29.992 62622.10831 -84.257567088 33.890287913
28243050 753619.776 3753377.471 294.447 0.824 0.04762 29.977 62622.10834 -84.257567044 33.890287966
28243051 753619.776 3753377.484 294.138 0.824 0.03733 29.958 62622.10837 -84.257567034 33.890288077
28243052 753619.783 3753377.484 293.83 0.835 0.02703 29.955 62622.10841 -84.257566962 33.890288082
28243053 753619.789 3753377.486 293.521 0.831 0.01674 29.954 62622.10844 -84.257566898 33.890288099
28243054 753619.789 3753377.499 293.213 0.765 0.00645 29.944 62622.10847 -84.257566890 33.890288214
